CBSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Principal City Name,FIPS State Code,FIPS Place Code,geoid
15580,"Butte-Silver Bow, MT",Micropolitan Statistical Area,Butte-Silver Bow (balance),30,11397,3011397
15620,"Cadillac, MI",Micropolitan Statistical Area,Cadillac,26,12320,2612320
15660,"Calhoun, GA",Micropolitan Statistical Area,Calhoun,13,12456,1312456
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,California,24,12150,2412150
15680,"California-Lexington Park, MD",Metropolitan Statistical Area,Lexington Park,24,46725,2446725
15700,"Cambridge, MD",Micropolitan Statistical Area,Cambridge,24,12400,2412400
15740,"Cambridge, OH",Micropolitan Statistical Area,Cambridge,39,10996,3910996
15780,"Camden, AR",Micropolitan Statistical Area,Camden,5,10720,510720
15820,"Campbellsville, KY",Micropolitan Statistical Area,Campbellsville,21,12160,2112160
15860,"Caon City, CO",Micropolitan Statistical Area,Caon City,8,11810,811810
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Canton,39,12000,3912000
15940,"Canton-Massillon, OH",Metropolitan Statistical Area,Massillon,39,48244,3948244
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Cape Coral,12,10275,1210275
15980,"Cape Coral-Fort Myers, FL",Metropolitan Statistical Area,Fort Myers,12,24125,1224125
16020,"Cape Girardeau, MO-IL",Metropolitan Statistical Area,Cape Girardeau,29,11242,2911242
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Carbondale,17,11163,1711163
16060,"Carbondale-Marion, IL",Metropolitan Statistical Area,Marion,17,46916,1746916
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Artesia,35,5220,3505220
16100,"Carlsbad-Artesia, NM",Micropolitan Statistical Area,Carlsbad,35,12150,3512150
16140,"Carroll, IA",Micropolitan Statistical Area,Carroll,19,11080,1911080
16180,"Carson City, NV",Metropolitan Statistical Area,Carson City,32,9700,3209700
16220,"Casper, WY",Metropolitan Statistical Area,Casper,56,13150,5613150
16260,"Cedar City, UT",Micropolitan Statistical Area,Cedar City,49,11320,4911320
16300,"Cedar Rapids, IA",Metropolitan Statistical Area,Cedar Rapids,19,12000,1912000
16340,"Cedartown, GA",Micropolitan Statistical Area,Cedartown,13,14500,1314500
16380,"Celina, OH",Micropolitan Statistical Area,Celina,39,12868,3912868
16420,"Central City, KY",Micropolitan Statistical Area,Central City,21,13978,2113978
16460,"Centralia, IL",Micropolitan Statistical Area,Centralia,17,12164,1712164
16500,"Centralia, WA",Micropolitan Statistical Area,Centralia,53,11160,5311160
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Chambersburg,42,12536,4212536
16540,"Chambersburg-Waynesboro, PA",Metropolitan Statistical Area,Waynesboro,42,81824,4281824
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Champaign,17,12385,1712385
16580,"Champaign-Urbana, IL",Metropolitan Statistical Area,Urbana,17,77005,1777005
16620,"Charleston, WV",Metropolitan Statistical Area,Charleston,54,14600,5414600
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Charleston,17,12567,1712567
16660,"Charleston-Mattoon, IL",Micropolitan Statistical Area,Mattoon,17,47553,1747553
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,Charleston,45,13330,4513330
16700,"Charleston-North Charleston, SC",Metropolitan Statistical Area,North Charleston,45,50875,4550875
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Charlotte,37,12000,3712000
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Concord,37,14100,3714100
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Gastonia,37,25580,3725580
16740,"Charlotte-Concord-Gastonia, NC-SC",Metropolitan Statistical Area,Rock Hill,45,61405,4561405
16820,"Charlottesville, VA",Metropolitan Statistical Area,Charlottesville,51,14968,5114968
16860,"Chattanooga, TN-GA",Metropolitan Statistical Area,Chattanooga,47,14000,4714000
16940,"Cheyenne, WY",Metropolitan Statistical Area,Cheyenne,56,13900,5613900
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Bolingbrook,17,7133,1707133
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Chicago,17,14000,1714000
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Des Plaines,17,19642,1719642
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Elgin,17,23074,1723074
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Evanston,17,24582,1724582
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Hoffman Estates,17,35411,1735411
